alpha,rho,k,accuracy
0.2,0.1,5,0.84
0.2,0.1,10,0.86
0.2,0.1,15,0.84
0.3,0.1,5,0.82
0.3,0.1,10,0.87
0.3,0.1,15,0.87
0.4,0.1,5,0.85
0.4,0.1,10,0.9
0.4,0.1,15,0.88
0.5,0.1,5,0.84
0.5,0.1,10,0.88
0.5,0.1,15,0.88
0.6,0.1,5,0.83
0.6,0.1,10,0.88
0.6,0.1,15,0.87
0.2,1.0,5,0.9
0.2,1.0,10,0.86
0.2,1.0,15,0.87
0.3,1.0,5,0.89
0.3,1.0,10,0.88
0.3,1.0,15,0.87
0.4,1.0,5,0.91
0.4,1.0,10,0.87
0.4,1.0,15,0.87
0.5,1.0,5,0.9
0.5,1.0,10,0.88
0.5,1.0,15,0.88
0.6,1.0,5,0.87
0.6,1.0,10,0.88
0.6,1.0,15,0.87
0.2,10.0,5,0.9
0.2,10.0,10,0.87
0.2,10.0,15,0.88
0.3,10.0,5,0.89
0.3,10.0,10,0.88
0.3,10.0,15,0.87
0.4,10.0,5,0.91
0.4,10.0,10,0.87
0.4,10.0,15,0.88
0.5,10.0,5,0.91
0.5,10.0,10,0.89
0.5,10.0,15,0.87
0.6,10.0,5,0.91
0.6,10.0,10,0.89
0.6,10.0,15,0.88
0.2,100.0,5,0.87
0.2,100.0,10,0.82
0.2,100.0,15,0.85
0.3,100.0,5,0.89
0.3,100.0,10,0.85
0.3,100.0,15,0.86
0.4,100.0,5,0.87
0.4,100.0,10,0.85
0.4,100.0,15,0.85
0.5,100.0,5,0.87
0.5,100.0,10,0.84
0.5,100.0,15,0.85
0.6,100.0,5,0.88
0.6,100.0,10,0.85
0.6,100.0,15,0.88
0.2,1000.0,5,0.84
0.2,1000.0,10,0.8
0.2,1000.0,15,0.78
0.3,1000.0,5,0.84
0.3,1000.0,10,0.81
0.3,1000.0,15,0.79
0.4,1000.0,5,0.82
0.4,1000.0,10,0.81
0.4,1000.0,15,0.82
0.5,1000.0,5,0.83
0.5,1000.0,10,0.8
0.5,1000.0,15,0.82
0.6,1000.0,5,0.86
0.6,1000.0,10,0.79
0.6,1000.0,15,0.84
