alpha,rho,k,accuracy
0.3,0.1,5,0.8138297872340425
0.3,0.1,10,0.8191489361702128
0.3,0.1,15,0.8351063829787234
0.4,0.1,5,0.8085106382978723
0.4,0.1,10,0.8191489361702128
0.4,0.1,15,0.8404255319148937
0.5,0.1,5,0.8191489361702128
0.5,0.1,10,0.824468085106383
0.5,0.1,15,0.824468085106383
0.6,0.1,5,0.8191489361702128
0.6,0.1,10,0.824468085106383
0.6,0.1,15,0.8297872340425532
0.7,0.1,5,0.824468085106383
0.7,0.1,10,0.8297872340425532
0.7,0.1,15,0.8138297872340425
0.3,1.0,5,0.8457446808510638
0.3,1.0,10,0.8191489361702128
0.3,1.0,15,0.8191489361702128
0.4,1.0,5,0.8457446808510638
0.4,1.0,10,0.824468085106383
0.4,1.0,15,0.8297872340425532
0.5,1.0,5,0.8617021276595744
0.5,1.0,10,0.851063829787234
0.5,1.0,15,0.8297872340425532
0.6,1.0,5,0.8723404255319149
0.6,1.0,10,0.8617021276595744
0.6,1.0,15,0.8457446808510638
0.7,1.0,5,0.8723404255319149
0.7,1.0,10,0.8617021276595744
0.7,1.0,15,0.824468085106383
0.3,10.0,5,0.8351063829787234
0.3,10.0,10,0.8297872340425532
0.3,10.0,15,0.8351063829787234
0.4,10.0,5,0.8351063829787234
0.4,10.0,10,0.8351063829787234
0.4,10.0,15,0.8138297872340425
0.5,10.0,5,0.8457446808510638
0.5,10.0,10,0.8297872340425532
0.5,10.0,15,0.8297872340425532
0.6,10.0,5,0.8351063829787234
0.6,10.0,10,0.851063829787234
0.6,10.0,15,0.8297872340425532
0.7,10.0,5,0.8617021276595744
0.7,10.0,10,0.8457446808510638
0.7,10.0,15,0.8351063829787234
0.3,100.0,5,0.8031914893617021
0.3,100.0,10,0.8191489361702128
0.3,100.0,15,0.8138297872340425
0.4,100.0,5,0.824468085106383
0.4,100.0,10,0.8031914893617021
0.4,100.0,15,0.8085106382978723
0.5,100.0,5,0.8138297872340425
0.5,100.0,10,0.8351063829787234
0.5,100.0,15,0.8138297872340425
0.6,100.0,5,0.8351063829787234
0.6,100.0,10,0.8351063829787234
0.6,100.0,15,0.7925531914893617
0.7,100.0,5,0.8404255319148937
0.7,100.0,10,0.824468085106383
0.7,100.0,15,0.8031914893617021
0.3,1000.0,5,0.7712765957446809
0.3,1000.0,10,0.7925531914893617
0.3,1000.0,15,0.7978723404255319
0.4,1000.0,5,0.8085106382978723
0.4,1000.0,10,0.8085106382978723
0.4,1000.0,15,0.8031914893617021
0.5,1000.0,5,0.8031914893617021
0.5,1000.0,10,0.8191489361702128
0.5,1000.0,15,0.7872340425531915
0.6,1000.0,5,0.824468085106383
0.6,1000.0,10,0.8085106382978723
0.6,1000.0,15,0.7925531914893617
0.7,1000.0,5,0.8404255319148937
0.7,1000.0,10,0.8191489361702128
0.7,1000.0,15,0.776595744680851
